oneid,choice,profit,ave_other,size,whichgroup,round,rematching,time
32558,55,4603,66,3,1,7,assortatively,2020-11-26 18:46:08
32558,50,3058,61,3,0,8,assortatively,2020-11-26 18:47:30
32558,50,2137.5,57.5,3,0,9,assortatively,2020-11-26 18:49:57
32671,52,NA,NA,NA,1,1,assortatively,2020-11-26 18:30:22
32671,56,8884,90,3,0,2,assortatively,2020-11-26 18:35:30
32671,60,2762,57,3,0,3,assortatively,2020-11-26 18:37:36
32671,67,4423.5,62.5,3,1,4,assortatively,2020-11-26 18:39:34
32671,66,6361.5,72.5,3,1,5,assortatively,2020-11-26 18:41:29
32671,55,3907,63,3,1,6,assortatively,2020-11-26 18:43:24
32671,61,3677.5,60.5,3,0,7,assortatively,2020-11-26 18:45:24
32671,63,3315.5,58.5,3,1,8,assortatively,2020-11-26 18:47:24
32671,59,2179,55,3,1,9,assortatively,2020-11-26 18:49:38
32671,55,1739.5,54.5,3,1,10,assortatively,2020-11-26 18:51:31
32671,57,4603.5,65.5,3,0,11,assortatively,2020-11-26 18:53:20
32671,78,8157.5,85.5,3,1,12,assortatively,2020-11-26 18:55:25
32671,78,5845.5,68.5,3,1,13,assortatively,2020-11-26 18:57:21
32671,68,8203.5,84.5,3,1,14,assortatively,2020-11-26 18:59:22
32671,98,5033.5,64.5,3,0,15,assortatively,2020-11-26 19:01:52
32671,86,8704,-1,1,2,16,assortatively,2020-11-26 19:03:38
32671,89,8479,-1,1,2,17,assortatively,2020-11-26 19:05:30
32671,65,9775,-1,1,2,18,assortatively,2020-11-26 19:07:26
32671,65,4875,65,3,1,19,assortatively,2020-11-26 19:09:26
32671,66,4809.5,64.5,3,1,20,assortatively,2020-11-26 19:11:26
36709,50,NA,NA,NA,0,1,randomly,2020-11-26 18:30:33
36709,55,1875,55,3,2,2,randomly,2020-11-26 18:35:24
36709,55,6937.5,77.5,3,3,3,randomly,2020-11-26 18:37:48
36709,50,0,50,3,4,4,randomly,2020-11-26 18:40:26
36709,60,8778,89,3,2,5,randomly,2020-11-26 18:42:58
36709,90,3042,53,3,0,6,randomly,2020-11-26 18:43:28
36709,50,4637.5,67.5,3,1,7,randomly,2020-11-26 18:45:32
36709,50,6048,74,3,3,8,randomly,2020-11-26 18:47:23
36709,50,2002,57,3,3,9,randomly,2020-11-26 18:49:21
36709,50,2405.5,58.5,3,4,10,randomly,2020-11-26 18:51:17
36709,50,1450,55,3,3,11,randomly,2020-11-26 18:53:21
36709,50,3058,61,3,1,12,randomly,2020-11-26 18:55:49
36709,50,6250,75,3,3,13,randomly,2020-11-26 18:57:38
36709,50,1450,55,3,3,14,randomly,2020-11-26 18:59:32
36709,50,1728,56,3,2,15,randomly,2020-11-26 19:01:31
36709,50,2800,60,3,0,16,randomly,2020-11-26 19:03:39
36709,50,1865.5,56.5,3,3,17,randomly,2020-11-26 19:05:22
36709,50,6832,78,3,1,18,randomly,2020-11-26 19:07:47
36709,50,4865.5,68.5,3,3,19,randomly,2020-11-26 19:09:20
36709,50,1450,55,3,3,20,randomly,2020-11-26 19:11:32
38308,51.75,NA,NA,NA,5,1,not,2020-11-26 18:30:12
38308,57.25,4504.9375,65,3,2,2,not,2020-11-26 18:35:23
38308,56.75,4015.9375,63,3,2,3,not,2020-11-26 18:37:25
38308,53.25,314.4375,50,3,2,4,not,2020-11-26 18:39:22
38308,51,395,51,3,2,5,not,2020-11-26 18:41:21
38308,52,232.96875,50.125,3,2,6,not,2020-11-26 18:43:20
38308,54.25,6444.4375,75,3,2,7,not,2020-11-26 18:45:26
38308,54,529.5,50.5,3,2,8,not,2020-11-26 18:47:20
38308,55,475,50,3,2,9,not,2020-11-26 18:49:26
38308,55.25,497.4375,50,3,2,10,not,2020-11-26 18:51:21
38308,67.75,2076.84375,52.375,3,2,11,not,2020-11-26 18:53:26
38308,61.25,1273.9375,51,3,2,12,not,2020-11-26 18:55:21
38308,56.5,892.75,51,3,2,13,not,2020-11-26 18:57:18
38308,61,1117.5,50.5,3,2,14,not,2020-11-26 18:59:23
38308,58,1433.5,52.5,3,2,15,not,2020-11-26 19:01:20
38308,51,99,50,3,2,16,not,2020-11-26 19:03:23
38308,62.5,1196.59375,50.375,3,2,17,not,2020-11-26 19:05:21
38308,59.25,1049.4375,50.75,3,2,18,not,2020-11-26 19:07:21
38308,61.25,1136.6875,50.5,3,2,19,not,2020-11-26 19:09:22
38308,62.5,1264.84375,50.625,3,2,20,not,2020-11-26 19:11:19
38610,60,NA,NA,NA,0,1,not,2020-11-26 18:30:49
38610,70,3693.71875,58.625,3,2,2,not,2020-11-26 18:35:23
38610,51,4325.71875,65.875,3,2,3,not,2020-11-26 18:37:23
38610,50,482.21875,51.625,3,2,4,not,2020-11-26 18:39:36
38610,52,343.5,50.5,3,2,5,not,2020-11-26 18:41:36
38610,50.25,322.4375,51,3,2,6,not,2020-11-26 18:43:50
38610,100,2915.96875,52.125,3,2,7,not,2020-11-26 18:46:06
38610,50,737.5,52.5,3,2,8,not,2020-11-26 18:47:39
38610,50,737.5,52.5,3,2,9,not,2020-11-26 18:49:30
38610,50,773.71875,52.625,3,2,10,not,2020-11-26 18:51:25
38610,54.75,2873.09375,58.875,3,2,11,not,2020-11-26 18:53:29
38610,51,1849.21875,56.125,3,2,12,not,2020-11-26 18:55:29
38610,52,1136.875,53.25,3,2,13,not,2020-11-26 18:57:22
38610,51,1677.5,55.5,3,2,14,not,2020-11-26 18:59:24
38610,55,1603,54,3,2,15,not,2020-11-26 19:01:28
38610,50,149.5,50.5,3,2,16,not,2020-11-26 19:03:36
38610,50.75,1861.9375,56.25,3,2,17,not,2020-11-26 19:05:32
38610,50.5,1529.59375,55.125,3,2,18,not,2020-11-26 19:07:22
38610,50,1762.46875,56.125,3,2,19,not,2020-11-26 19:09:25
38610,50.25,1955.4375,56.75,3,2,20,not,2020-11-26 19:11:23
38692,60,NA,NA,NA,1,1,randomly,2020-11-26 18:31:30
38692,60,1587.5,52.5,3,2,2,randomly,2020-11-26 18:35:45
38692,75,2487.5,52.5,3,0,3,randomly,2020-11-26 18:37:44
38692,80,3468,56,3,1,4,randomly,2020-11-26 18:39:21
38692,90,4922,63,3,4,5,randomly,2020-11-26 18:41:53
38692,80,3468,56,3,2,6,randomly,2020-11-26 18:43:34
38692,80,2687.5,52.5,3,1,7,randomly,2020-11-26 18:45:32
38692,80,3250,55,3,0,8,randomly,2020-11-26 18:47:26
38692,85,7147,78,3,1,9,randomly,2020-11-26 18:49:26
38692,80,7378,58,2,2,10,randomly,2020-11-26 18:51:45
38692,80,5938,69,3,1,11,randomly,2020-11-26 18:53:20
38692,80,2100,50,3,2,12,randomly,2020-11-26 18:55:29
38692,80,5250,65,3,1,13,randomly,2020-11-26 18:57:29
38692,80,5068,64,3,1,14,randomly,2020-11-26 18:59:21
38692,80,3575.5,56.5,3,3,15,randomly,2020-11-26 19:01:38
38692,80,4300,60,3,2,16,randomly,2020-11-26 19:03:33
38692,80,3787.5,57.5,3,1,17,randomly,2020-11-26 19:05:28
38692,80,4882,63,3,3,18,randomly,2020-11-26 19:07:29
38692,75,3303,56,3,3,19,randomly,2020-11-26 19:09:25
38692,50,1025.5,53.5,3,2,20,randomly,2020-11-26 19:11:38
43777,55,NA,NA,NA,2,1,assortatively,2020-11-26 18:30:22
43777,70,3437.5,57.5,3,1,2,assortatively,2020-11-26 18:35:32
43777,59,8239,85,3,2,3,assortatively,2020-11-26 18:37:37
43777,80,2687.5,52.5,3,0,4,assortatively,2020-11-26 18:39:36
43777,66,5017.5,65.5,3,2,5,assortatively,2020-11-26 18:41:28
43777,60,3619.5,60.5,3,1,6,assortatively,2020-11-26 18:43:33
43777,63,3553.5,59.5,3,0,7,assortatively,2020-11-26 18:45:31
43777,58,3618,61,3,1,8,assortatively,2020-11-26 18:47:15
43777,59,1647,53,3,0,9,assortatively,2020-11-26 18:49:47
43777,54,1794,55,3,1,10,assortatively,2020-11-26 18:51:39
43777,56,4660,66,3,0,11,assortatively,2020-11-26 18:53:34
43777,81,4017.5,58.5,3,0,12,assortatively,2020-11-26 18:55:35
43777,66,6709.5,74.5,3,1,13,assortatively,2020-11-26 18:57:32
43777,82,5088,64,3,0,14,assortatively,2020-11-26 18:59:37
43777,88,8543.5,99,2,2,15,assortatively,2020-11-26 19:01:45
43777,78,5930,69,3,1,16,assortatively,2020-11-26 19:03:28
43777,78,7146,77,3,1,17,assortatively,2020-11-26 19:05:23
43777,60,6915.5,76.5,3,1,18,assortatively,2020-11-26 19:07:35
43777,54,2461.5,57.5,3,0,19,assortatively,2020-11-26 19:09:34
43777,70,1600,50,3,0,20,assortatively,2020-11-26 19:11:41
44172,56,NA,NA,NA,4,1,randomly,2020-11-26 18:30:47
44172,58,6586,75,3,4,2,randomly,2020-11-26 18:35:42
44172,68,4463.5,62.5,3,4,3,randomly,2020-11-26 18:38:37
